상권_코드_명,당월_매출_금액,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
영등포전통시장,2723728408698,3219744,47064325,28781964,17466461,12449390,7204216
평화시장,2485200693467,662101,12227506,12627385,8702141,4562315,1825993
남대문시장,1592206338359,297259,6634291,8910133,8215187,8040233,9499258
경동시장,870053150880,17538,520565,1284678,2147370,3809739,8745908
마포농수산물시장,593366763649,10343,502099,2201535,2859440,3443728,3191717
