사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-01,2호선,0204,을지로4가,3,0,867,"1,075","1,679","10,442","3,367","27,377","5,899","74,416","9,560","42,799","12,876","25,861","16,148","25,320","18,350","24,942","20,917","23,465","24,661","22,392","28,370","21,172","31,120","17,585","49,132","15,991","72,389","13,876","34,892","9,061","18,175","6,090","14,503","5,987","9,957","5,401","4,973","3,868",896,"1,054",5,42,0,0,0,0,2020-02-03 12:20:06
2020-01,2호선,0205,동대문역사문화공원,349,3,"8,392",880,"4,521","8,037","6,808","18,223","12,708","50,941","13,360","38,741","15,083","31,977","18,224","30,981","22,554","31,519","24,355","35,149","28,522","34,070","34,222","31,685","39,289","31,056","48,224","32,755","59,193","39,209","38,991","42,367","29,587","29,749","27,382","23,070","25,851","17,732","15,509","11,642","2,992","3,937",20,135,0,3,0,0,2020-02-03 12:20:06
2020-01,2호선,0206,신당,33,2,"5,546","1,247","11,206","7,604","25,551","14,075","45,785","33,656","28,214","24,766","20,124","19,266","20,235","20,539","22,222","22,107","23,999","24,164","24,366","24,770","25,135","25,537","27,580","27,722","31,794","33,664","36,811","46,487","22,955","35,140","17,208","22,197","14,790","20,594","11,103","19,878","6,073","13,367",888,"4,447",6,69,0,0,0,0,2020-02-03 12:20:06
2020-01,2호선,0207,상왕십리,30,0,"5,420",728,"11,961","5,409","36,487","10,012","62,742","33,204","34,843","19,359","21,997","13,867","20,990","12,684","21,580","14,205","21,332","16,642","19,375","17,508","20,242","19,745","20,596","21,888","24,579","29,243","30,638","49,333","18,705","36,724","12,678","24,242","11,462","23,115","8,165","22,577","3,757","15,265",626,"5,176",6,73,0,0,0,0,2020-02-03 12:20:06
2020-01,2호선,0208,왕십리(성동구청),793,3,"7,174","1,026","10,897","5,925","25,993","10,267","52,081","27,018","32,492","20,061","21,063","15,128","21,954","17,259","24,387","19,619","26,779","21,296","25,965","22,070","27,245","23,728","30,226","27,861","37,710","36,986","43,231","62,193","28,389","44,515","26,659","25,644","30,881","22,733","30,436","21,771","19,537","15,961","3,027","5,908",21,139,0,0,0,0,2020-02-03 12:20:06
2020-01,2호선,0209,한양대,3,0,"1,032",269,"2,428","6,174","5,773","9,814","9,399","30,231","7,031","40,511","6,192","19,748","9,397","14,010","10,533","17,622","12,353","18,139","12,805","13,088","15,297","10,470","23,465","9,923","31,702","10,246","29,927","12,523","13,887","8,729","10,364","5,879","10,452","5,336","8,444","5,418","4,922","3,869","1,011","1,289",4,36,0,0,0,0,2020-02-03 12:20:06
2020-01,2호선,0210,뚝섬,30,0,"3,703","1,721","7,878","12,965","19,267","25,576","31,399","124,010","19,432","69,798","15,530","29,590","16,472","24,061","19,465","25,225","24,572","28,013","26,290","26,027","29,858","26,530","35,363","27,575","47,289","30,694","108,265","40,414","54,065","29,146","30,849","15,529","27,489","14,577","19,708","14,029","8,208","9,187","1,261","3,302",6,93,0,0,0,0,2020-02-03 12:20:06
2020-01,2호선,0211,성수,20,1,"5,007","3,674","9,360","26,603","22,103","61,313","33,107","260,615","25,930","108,051","22,923","43,304","24,600","35,317","28,385","34,446","34,185","39,304","37,813","38,461","42,447","38,531","50,490","39,259","87,916","42,084","200,723","51,016","87,097","37,353","50,172","20,703","48,459","17,716","36,067","16,558","14,941","12,356","2,108","6,432",16,"1,122",0,9,0,0,2020-02-03 12:20:06
2020-01,2호선,0212,건대입구,361,14,"19,296","2,185","23,853","17,018","53,568","24,729","101,425","61,012","66,971","49,469","40,200","44,069","40,058","52,620","47,231","63,951","53,460","73,940","55,380","74,019","59,621","79,476","68,913","90,855","83,393","119,274","96,144","180,881","75,490","143,384","77,146","79,108","91,670","69,914","97,736","63,550","62,769","39,222","10,976","12,858",105,"1,401",0,18,0,0,2020-02-03 12:20:06
2020-01,2호선,0213,구의(광진구청),26,3,"12,239","1,586","24,595","9,473","63,129","14,430","117,404","39,318","69,053","26,412","36,958","20,870","33,169","21,016","35,381","23,999","34,774","27,501","31,979","29,912","30,765","35,338","32,580","40,990","37,219","53,525","45,799","87,963","26,483","73,813","20,204","46,848","19,094","45,527","16,849","44,125","10,169","27,567","1,805","8,506",16,178,0,16,0,0,2020-02-03 12:20:06
2020-01,2호선,0214,강변(동서울터미널),22,3,"8,786","3,308","26,644","27,161","83,750","30,798","131,240","54,634","102,144","54,638","81,329","51,965","78,034","51,500","76,291","57,859","74,616","66,491","69,356","72,566","70,963","81,920","72,329","91,972","78,039","102,568","84,964","137,322","67,403","111,576","54,849","74,848","45,307","64,264","30,995","59,467","12,447","34,050","2,166","8,371",40,144,1,4,0,0,2020-02-03 12:20:06
2020-01,2호선,0215,잠실나루,4,1,"2,980","1,620","10,338","9,483","36,021","19,282","50,492","37,615","30,818","29,560","25,068","22,132","26,157","19,991","26,204","23,480","24,994","25,120","26,691","23,577","28,024","22,738","32,001","21,769","36,740","26,918","33,837","40,339","18,852","34,208","14,349","20,388","10,764","19,564","6,908","19,478","3,462","11,659",555,"3,575",3,55,1,4,0,0,2020-02-03 12:20:06
2020-01,2호선,0216,잠실(송파구청),120,0,"11,900","5,839","44,882","34,632","113,517","82,409","174,509","187,724","129,366","183,057","87,817","122,241","91,459","129,248","101,730","126,226","115,524","133,689","123,227","130,105","140,107","137,480","160,594","146,991","209,245","171,131","270,618","233,640","189,984","175,978","176,001","102,906","146,779","95,896","114,977","94,099","41,853","55,722","5,002","12,059",48,456,0,30,0,0,2020-02-03 12:20:06
2020-01,2호선,0217,잠실새내,45,2,"5,439",984,"15,387","7,234","52,905","13,342","79,263","27,528","49,457","33,256","32,929","25,780","32,580","27,180","35,999","29,468","36,834","35,055","33,216","37,530","34,179","40,808","38,543","46,844","41,027","61,854","46,227","92,743","34,465","74,281","30,202","41,912","31,653","36,933","30,366","35,473","18,894","20,094","3,288","6,301",34,323,0,1,0,0,2020-02-03 12:20:06
2020-01,2호선,0218,종합운동장,12,2,"1,776","1,566","5,884","6,305","16,755","12,693","26,208","23,535","19,406","16,495","13,521","11,928","12,908","11,406","13,606","14,450","13,586","16,261","16,679","19,015","15,985","16,884","17,410","19,590","19,677","21,975","21,899","33,230","13,284","24,544","11,972","12,644","12,248","12,742","14,266","13,000","2,499","7,954",336,"2,260",8,131,0,2,0,0,2020-02-03 12:20:06
2020-01,2호선,0219,삼성(무역센터),146,1,"5,371","4,807","8,324","40,223","16,923","121,432","24,317","335,521","24,217","251,880","25,582","119,755","37,144","100,992","48,701","89,509","64,900","98,010","82,064","87,745","106,979","77,630","126,245","72,886","194,795","73,287","312,970","81,382","195,051","51,248","144,552","23,902","123,356","18,962","87,390","16,139","24,838","9,108","3,443","5,464",10,"1,568",0,27,0,0,2020-02-03 12:20:06
2020-01,2호선,0220,선릉,146,6,"5,730","6,171","11,391","38,738","20,973","104,205","35,022","295,008","33,635","217,464","35,426","99,279","48,324","66,911","57,764","59,863","69,552","70,202","76,739","61,093","98,724","53,796","131,036","50,944","169,307","55,391","291,029","64,133","150,980","46,053","95,049","26,214","95,986","22,652","83,382","20,195","33,129","12,339","5,671","5,786",26,269,1,5,0,0,2020-02-03 12:20:06
2020-01,2호선,0221,역삼,45,3,"4,086","7,784","8,916","37,105","14,936","125,414","27,869","351,678","25,631","271,513","26,415","112,435","36,852","72,440","46,353","60,653","55,858","71,037","62,500","62,644","82,230","54,526","99,335","49,584","176,083","56,938","280,874","68,397","151,122","48,756","91,858","26,109","90,601","20,865","69,357","18,026","26,940","11,828","4,855","3,890",25,124,0,4,0,0,2020-02-03 12:20:06
