사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-01,경부선,1709,군포,55,1,"4,934","2,136","8,043","6,275","16,830","23,752","16,587","47,653","10,575","8,076","8,796","6,001","8,519","5,310","8,853","5,791","8,284","6,178","7,550","6,526","8,099","7,263","9,755","9,058","20,209","11,220","33,937","14,423","12,828","12,552","9,689","8,269","7,274","7,099","4,499","6,679","1,677","4,236",61,796,0,0,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1710,의왕,29,2,"5,978","2,010","11,720","7,318","27,786","23,799","28,290","27,004","14,987","9,298","11,792","7,310","11,781","7,196","12,363","7,484","11,923","8,902","11,001","9,334","11,331","10,758","14,518","13,103","24,962","16,149","24,525","25,822","12,054","23,447","8,741","14,637","7,133","13,687","4,789","12,815","1,978","7,618",145,"2,568",0,0,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1711,성균관대,69,2,"7,905","1,619","24,188","5,427","62,515","8,789","53,068","18,252","26,207","15,077","21,088","11,945","20,323","13,257","20,812","13,868","19,672","17,330","18,479","17,799","19,074","19,224","21,943","25,135","24,140","33,042","25,986","54,022","15,417","52,447","12,205","33,532","11,476","27,735","10,382","26,888","4,676","17,411",318,"4,787",0,0,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1712,화서,307,1,"6,908","1,505","17,962","4,988","36,250","4,604","28,857","9,680","14,387","6,819","12,111","5,852","11,430","6,335","10,788","6,729","10,594","8,010","9,667","9,096","9,359","10,021","10,838","12,238","12,030","17,349","11,020","27,980","6,783","27,538","4,900","16,926","4,435","13,462","3,732","13,719","1,250","8,430",81,"2,631",0,0,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1713,수원,"1,871",49,"20,539","5,305","34,313","27,988","70,403","54,207","69,764","72,185","50,900","67,043","50,564","60,807","55,099","70,000","57,594","84,075","62,133","87,635","65,896","85,124","76,393","86,259","93,420","91,507","102,204","106,020","110,005","131,346","91,092","112,220","90,921","65,569","69,352","51,143","65,249","43,425","26,786","27,896",901,"9,775",4,27,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1714,독산,505,2,"6,439","2,241","15,295","11,551","39,263","33,638","38,501","93,579","22,239","44,744","18,071","17,622","18,622","13,935","20,126","14,139","20,237","14,818","18,416","16,410","19,873","17,249","23,928","19,941","44,841","24,856","72,906","38,693","32,922","35,129","18,186","21,456","14,128","19,806","9,334","18,218","3,458","13,264",75,671,1,2,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1715,세류,351,4,"3,077",674,"6,988","2,480","14,691","4,386","9,907","5,040","6,061","3,503","6,457","3,870","5,694","3,168","5,214","3,863","5,043","4,178","4,644","4,510","4,934","5,216","5,530","5,589","7,650","8,236","7,242","10,423","4,365","10,779","3,566","7,933","2,873","6,022","2,003","5,352",618,"3,538",21,"1,174",0,3,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1716,병점,"2,360",19,"7,049","3,481","22,483","11,093","46,318","18,660","35,942","24,365","26,520","15,998","23,479","12,070","24,529","12,707","24,315","16,387","23,683","17,038","22,381","19,211","23,945","22,334","26,450","27,195","32,803","30,454","36,261","45,203","19,643","44,800","13,847","33,682","11,713","29,134","9,076","25,550","2,472","17,542",53,"9,876",0,60,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1717,세마,151,0,"1,607",498,"5,052","1,277","8,150","3,682","7,155","5,656","6,413","1,980","4,723","1,816","4,726","2,241","4,567","2,016","4,617","2,530","4,246","2,905","3,995","3,656","4,632","4,629","5,876","5,426","5,701","7,602","3,016","7,283","2,082","5,155","1,673","4,843","1,114","4,584",433,"2,477",45,234,0,0,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1718,오산대,73,1,"2,023",569,"4,048","1,709","9,281","3,769","6,834","4,717","5,323","2,641","4,816","2,385","4,618","2,589","4,678","2,545","4,351","3,234","4,329","3,599","4,379","3,781","5,006","4,770","6,181","6,497","6,985","8,219","3,559","7,064","2,745","5,090","2,556","4,081","1,731","3,937",799,"2,260",58,202,0,0,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1719,오산,169,0,"6,034","1,743","12,291","6,774","20,324","20,319","18,584","20,030","17,415","11,383","18,059","11,523","17,880","12,038","18,716","13,026","18,206","13,484","17,127","15,786","17,780","15,988","19,558","21,399","24,757","25,239","28,354","26,423","15,591","28,727","12,853","19,408","9,504","15,997","6,592","13,148","2,402","7,636",160,773,0,2,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1720,진위,6,0,737,214,"1,248","2,004","2,660","5,988","2,476","6,555","1,805","1,278","2,124","1,017","1,871",972,"2,084",890,"1,775","1,445","2,038","1,229","2,236","1,382","2,352","2,024","5,114","2,431","8,599","2,211","2,785","1,996","1,873","1,662","1,107","1,438",611,"1,527",172,857,13,97,0,0,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1721,송탄,46,4,"5,205",726,"7,263","3,302","9,044","4,793","10,202","7,048","8,192","3,515","8,603","4,136","8,658","4,207","8,243","4,707","8,438","6,355","7,064","6,288","7,936","7,075","8,132","9,623","8,611","10,976","10,543","11,217","5,790","11,118","4,164","9,592","3,691","8,512","2,260","8,242",846,"5,745",55,994,0,6,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1722,서정리,25,1,"2,966","6,409","7,301","5,918","9,072","7,818","10,976","9,751","8,976","4,670","9,601","5,360","9,267","6,121","9,936","6,493","9,341","7,723","8,490","7,705","9,350","9,020","10,001","10,223","15,357","13,129","15,092","15,109","9,142","12,988","6,208","10,938","4,617","9,442","2,782","7,470",901,"5,533",26,"1,042",0,2,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1723,지제,5,1,831,"2,304","2,498","4,582","5,110","6,979","4,584","5,675","3,354","2,634","3,035","2,048","2,991","2,249","3,912","2,275","3,319","3,200","3,318","1,751","4,796","3,890","5,559","3,601","9,089","3,269","7,891","6,024","5,343","4,606","2,668","3,327","3,646","3,495","2,528","2,687",648,"2,176",11,67,0,1,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1724,평택,60,1,"6,647","2,707","13,187","7,687","23,041","13,683","22,425","20,039","22,390","18,310","23,379","17,659","21,104","21,261","22,987","19,938","23,532","26,718","23,757","21,422","24,880","27,306","27,867","26,516","30,401","31,930","30,760","37,556","23,152","28,489","20,922","22,831","15,294","18,037","11,869","14,942","5,673","10,260",76,415,0,76,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1725,성환,20,0,"1,608",700,"2,995","2,409","5,328","7,488","6,731","8,484","6,548","3,821","6,531","4,377","6,239","4,908","6,376","5,392","7,311","5,241","6,580","5,427","5,779","5,997","7,572","6,024","10,475","8,261","9,841","8,412","4,578","6,637","3,789","6,342","2,637","4,964","1,399","4,122",709,"3,723",20,444,0,15,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1726,직산,31,0,652,180,"1,088",746,"1,721","2,110","1,401","2,834","1,422","1,130","1,451",891,"1,330",930,"1,419","1,099","1,571","1,076","1,338",898,"1,533","1,348","1,495","1,248","2,095","1,991","2,945","1,870","1,125","1,348",767,"1,470",929,"1,187",386,710,175,765,8,223,0,2,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1727,두정,"1,068",4,"3,979",616,"7,343","2,649","11,181","5,874","9,777","7,750","7,714","8,406","8,239","6,608","7,732","7,915","7,440","8,182","7,496","7,882","7,756","7,824","8,410","7,489","10,063","9,699","11,585","9,716","13,665","15,099","7,990","11,838","5,628","10,782","4,649","8,859","3,821","7,079","2,038","5,379",36,"1,904",0,15,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1728,천안,"2,123",4,"2,465",500,"4,602","2,581","8,551","5,059","8,941","7,359","11,260","10,624","11,672","11,618","12,558","13,151","11,837","13,657","12,984","14,823","14,594","14,058","15,507","13,291","15,589","16,518","14,308","14,398","12,898","15,397","9,791","12,303","7,684","8,807","6,092","6,483","4,253","5,807","1,884","3,361",64,"2,198",0,50,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1729,당정,7,0,"3,345",987,"9,514","2,883","25,053","8,124","21,483","16,588","11,797","6,640","9,434","5,545","9,198","5,003","9,863","5,659","9,307","6,317","8,213","6,682","9,114","7,697","9,271","9,350","11,785","11,678","16,211","18,478","7,221","19,313","5,415","11,640","4,265","11,226","3,478","11,793","1,464","7,446",68,"1,936",0,0,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1749,서동탄,0,0,"1,396",2,"4,292",552,"9,978","1,336","5,288","2,190","2,791",924,"2,797","1,106","2,754","1,300","2,468","1,353","2,463","1,723","2,218","1,870","2,221","2,281","2,508","2,983","2,531","3,263","2,822","4,565","1,535","6,059",922,"2,547",814,"3,145",494,"1,931",24,"1,922",3,"1,495",0,0,0,0,0,0,2020-02-03 12:20:06
2020-01,경부선,1750,광명,0,0,20,"2,088","2,288","2,386","13,755","3,436","5,619","4,140","5,627","2,938","4,159","2,304","5,020","1,902","6,192","3,089","4,090","3,272","3,457","3,299","4,655","5,039","8,066","5,104","7,524","4,867","7,745","8,537","7,606","7,970","3,085","4,382","4,709","3,104","2,175","4,027",722,468,1,0,0,0,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1801,개봉,881,6,"16,584","5,012","34,375","12,072","88,878","14,984","87,401","24,960","54,234","19,950","40,577","18,623","36,619","20,814","38,502","26,110","37,482","26,080","32,614","30,357","31,907","35,677","33,127","43,187","34,975","60,882","35,765","89,436","21,471","78,153","16,966","46,627","15,006","47,097","10,809","40,920","5,317","25,226",291,"3,705",0,21,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1802,오류동,371,4,"11,213","1,845","16,572","5,532","50,241","6,543","49,050","11,838","28,392","11,927","22,175","13,153","19,938","9,956","23,271","13,829","20,784","16,647","17,576","16,042","19,237","19,685","19,781","20,484","19,486","27,303","18,583","41,645","10,838","41,364","8,541","23,265","6,904","25,576","5,846","20,994","2,659","14,115",161,"2,673",1,34,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1803,역곡,565,27,"23,907","3,385","42,897","11,450","124,517","12,877","122,877","27,567","66,097","24,775","47,327","21,897","43,134","23,866","45,101","31,091","43,108","33,297","36,966","36,873","35,567","40,589","38,019","52,634","40,722","69,572","39,722","111,512","25,861","106,701","21,541","63,235","18,370","58,511","16,314","53,422","8,207","37,325",625,"6,290",4,58,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1804,부천,"2,006",22,"31,616","4,384","42,772","14,496","110,272","20,760","111,662","44,964","66,822","45,129","54,013","41,981","53,766","47,820","58,454","56,109","59,701","65,484","58,169","63,067","60,725","66,673","65,791","74,355","69,642","96,719","72,671","133,679","52,524","126,942","42,608","72,173","43,543","62,532","38,956","52,825","21,381","38,294","2,030","8,467",2,95,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1805,송내,"1,352",12,"15,100","7,428","37,392","16,292","118,634","29,010","96,701","79,816","52,615","44,834","41,180","26,915","40,400","26,053","44,566","28,247","41,331","31,042","36,993","31,614","38,332","37,234","41,911","44,378","50,340","60,328","82,458","95,485","38,311","95,209","27,782","57,450","24,255","50,117","20,757","45,895","10,033","32,530","1,766","5,811",4,28,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1806,부평,"6,414",57,"23,944","5,113","37,912","11,674","89,783","19,244","83,770","35,364","49,486","44,000","45,342","39,634","47,621","48,043","53,039","60,596","54,049","72,735","54,913","71,895","59,636","75,405","67,545","83,165","73,607","96,134","70,654","145,592","55,523","128,279","52,033","73,170","55,244","59,577","52,060","47,886","31,457","34,106","5,356","10,883",14,61,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1807,백운,89,2,"7,197","1,563","14,019","3,379","29,458","5,189","26,967","10,929","17,615","8,869","15,467","7,171","14,766","8,238","14,162","9,242","13,323","10,476","12,818","10,817","11,404","12,019","11,366","14,800","11,630","18,742","12,399","25,658","6,506","24,904","5,034","15,828","5,514","15,041","3,670","13,212","2,186","9,864",278,"2,824",1,10,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1808,동암,433,6,"17,970","4,699","29,535","10,112","57,159","14,100","55,361","18,388","35,318","16,576","28,521","16,843","28,122","17,974","28,806","20,411","28,970","21,519","25,652","23,046","24,283","28,058","25,985","29,529","28,634","43,301","28,174","58,678","18,406","54,019","14,147","36,705","13,410","34,125","10,459","28,599","5,286","22,757",509,"5,906",2,47,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1809,주안,811,16,"13,636","3,437","25,487","9,705","66,822","18,374","58,108","30,627","36,459","25,357","30,482","19,633","32,701","20,502","38,094","25,761","35,920","24,562","32,682","26,262","34,165","28,826","37,903","32,275","42,497","44,036","45,092","60,136","28,492","66,159","24,150","39,868","21,853","33,919","19,400","32,182","10,452","23,935","1,352","7,377",3,32,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1810,제물포,570,2,"6,541","1,644","13,197","6,276","36,184","10,400","32,330","22,567","19,643","12,321","16,311","9,589","16,451","9,034","17,468","11,532","16,697","13,006","15,238","12,867","15,787","13,807","17,800","15,671","21,340","21,709","24,265","27,232","11,352","28,190","8,067","18,979","6,531","17,240","4,333","15,722","2,121","12,878",123,"4,171",0,8,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1811,동인천,"1,493",4,"7,746","2,219","15,384","9,939","43,095","20,801","33,206","31,776","23,452","18,818","21,938","21,952","24,086","26,554","27,181","25,968","28,417","26,459","27,653","26,309","30,471","25,243","32,324","27,699","40,372","30,950","49,428","35,870","25,451","38,404","16,606","24,314","12,352","19,429","8,600","19,607","3,542","14,047",42,"5,593",1,13,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1812,인천,258,3,"1,135",709,"2,812","2,959","5,237","4,466","4,740","7,445","3,433","4,142","3,340","5,018","4,521","8,785","6,034","9,706","8,029","9,319","9,682","8,984","11,632","7,329","12,197","5,437","13,575","3,905","13,429","3,397","5,945","2,444","4,677","2,140","3,129","1,603","1,707","1,419",623,"1,214",9,"1,268",0,1,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1813,구일,246,15,"3,624","1,338","8,745","2,871","27,879","5,738","24,856","12,207","13,567","6,964","10,116","7,103","9,328","7,084","10,710","9,420","9,988","12,325","9,447","14,349","9,899","17,035","9,902","18,678","10,719","22,070","13,347","28,718","10,958","24,515","18,829","12,656","12,627","12,069","8,410","11,262","3,336","7,090",76,"1,531",1,11,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1814,소사,895,21,"13,583","2,350","15,869","6,841","36,721","8,109","33,933","12,406","23,266","10,595","19,194","10,661","17,267","11,398","18,265","13,979","16,974","14,870","15,457","14,942","15,904","15,601","16,505","17,198","16,694","23,534","15,695","29,945","9,632","29,311","7,308","18,078","5,824","18,472","4,530","17,314","2,197","11,187",226,"4,051",0,24,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1815,부개,"1,599",14,"8,364","2,120","16,038","3,728","38,760","4,752","33,415","10,605","20,094","7,359","15,925","6,828","14,870","7,919","15,082","10,103","14,032","10,575","12,218","11,848","11,430","14,432","11,930","16,695","13,317","20,027","13,438","29,615","7,868","28,193","5,780","17,340","4,858","16,949","3,484","14,470","1,921","10,831",256,"2,503",0,21,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1816,간석,317,23,"5,000","1,158","11,571","2,226","24,138","3,379","21,774","7,979","12,607","7,010","10,618","5,303","10,656","6,298","10,712","7,120","10,321","7,891","8,805","7,767","9,483","9,970","8,736","11,019","9,193","14,178","10,352","19,685","6,139","19,503","4,727","12,314","4,339","11,727","3,174","10,075","1,883","7,663",176,"2,605",1,8,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1817,도원,546,14,"2,024",919,"3,313","2,060","6,954","3,922","6,383","18,925","5,198","5,021","5,667","4,983","5,778","4,619","7,525","4,585","8,827","5,396","7,657","5,404","6,697","6,012","7,336","5,925","7,244","7,004","8,842","6,641","3,446","5,815","2,613","3,705","2,372","3,892","1,305","3,437",525,"2,479",49,"1,751",0,7,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1821,온수(성공회대입구),142,2,"4,803","1,323","7,731","3,740","21,709","6,174","21,699","11,609","14,404","7,943","11,818","6,973","11,659","6,073","13,386","8,245","13,342","8,097","10,940","8,956","10,956","9,955","11,723","11,300","12,366","14,794","12,057","21,479","6,447","21,829","4,923","13,302","4,762","13,093","3,539","11,122","2,261","7,739",249,"1,289",0,7,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1822,중동,520,2,"8,750","1,501","15,800","4,334","42,454","5,479","33,909","13,250","19,480","10,199","15,633","8,802","15,302","9,411","16,490","10,339","15,401","11,725","13,036","11,252","12,518","13,561","13,733","16,237","13,545","22,074","14,975","29,743","8,280","29,343","6,676","18,113","5,589","16,049","3,817","14,534","1,874","11,561",216,"2,854",1,13,0,0,0,0,2020-02-03 12:20:06
2020-01,경인선,1823,도화,218,2,"3,479","1,030","5,711","3,199","14,586","3,634","12,757","6,815","8,828","3,511","6,939","3,774","6,528","3,926","7,151","4,911","6,933","5,427","6,028","5,396","5,939","6,219","6,880","7,110","7,875","7,773","7,396","9,796","3,869","9,702","2,740","5,968","2,086","6,157","1,342","5,193",809,"4,480",44,"2,025",1,10,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1008,이촌(국립중앙박물관),83,1,"1,148",597,"3,385","2,120","7,374","3,898","10,033","8,525","8,257","5,616","6,654","4,009","7,046","3,700","7,207","3,703","7,797","4,649","6,810","4,754","7,449","5,621","8,243","5,880","10,251","6,497","10,438","8,599","5,593","7,101","4,461","4,866","4,004","4,287","2,761","4,781",929,"2,898",104,901,1,0,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1009,서빙고,33,0,665,609,"1,730","2,465","2,872","4,023","3,604","7,844","3,269","3,312","2,940","2,785","2,856","2,271","2,868","2,013","3,926","2,912","3,110","2,086","3,716","3,137","3,964","3,161","5,597","3,245","6,980","3,949","2,714","3,471","2,387","2,012","1,867","1,625","1,244","1,735",304,"1,175",18,367,0,0,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1010,한남,117,1,"1,897",540,"2,640","4,658","4,882","9,157","6,119","14,436","5,625","14,263","5,075","6,698","5,824","5,958","7,212","5,695","6,256","6,416","7,264","5,103","8,434","5,663","10,221","6,667","13,077","7,645","16,131","9,013","7,879","6,647","5,632","4,009","5,545","3,842","4,746","2,914","2,150","1,924",110,752,0,4,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1011,옥수,0,0,1,8,21,66,35,25,72,188,23,63,12,141,12,176,14,68,17,27,33,19,40,16,324,20,385,29,13,17,361,19,11,10,41,16,33,16,24,3,0,0,0,0,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1012,응봉,144,0,950,283,"2,401","1,075","6,183","1,592","8,204","1,995","4,686","1,357","3,346","1,420","3,006","1,403","2,904","1,686","2,949","2,128","2,380","2,329","2,601","2,838","2,779","3,416","2,809","3,971","2,875","4,912","1,488","5,189","1,150","2,864",909,"2,555",645,"1,979",263,"1,761",25,459,0,1,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1013,왕십리(성동구청),636,6,"4,836",901,"7,893","4,794","23,955","9,596","43,748","20,651","27,201","17,065","15,554","16,719","15,978","20,773","19,334","25,073","21,519","27,035","23,034","27,220","25,856","30,402","28,384","35,135","32,612","43,272","32,840","71,690","26,328","57,325","25,271","31,609","30,234","25,507","29,587","24,792","15,393","13,464","1,648","5,345",10,23,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1014,청량리(서울시립대입구),935,38,"6,487","1,162","7,358","10,393","26,138","12,500","31,006","20,487","28,687","31,268","30,261","27,704","25,108","38,142","32,344","35,998","35,417","36,169","36,545","37,560","41,673","38,511","37,963","39,933","39,218","36,641","34,159","49,222","27,782","40,690","32,949","21,547","15,213","19,499","12,450","16,778","4,292","9,644",297,"4,171",0,25,0,0,0,1,2020-02-03 12:20:06
2020-01,경원선,1016,외대앞,489,6,"5,054","1,399","8,464","3,385","19,904","4,752","26,173","14,096","17,760","10,715","13,152","9,994","14,661","11,933","15,110","12,900","15,979","12,653","15,806","13,006","18,747","14,440","17,382","15,772","18,363","19,336","15,174","25,080","10,105","23,084","7,855","14,788","8,446","14,877","6,998","14,546","3,431","12,026",284,"2,779",0,31,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1017,신이문,"1,287",6,"7,662","1,236","13,706","2,593","35,829","4,451","41,866","8,612","23,974","5,291","17,446","6,017","15,385","7,159","14,928","8,484","14,887","10,053","12,527","10,961","11,800","14,527","10,745","17,123","10,944","21,273","11,123","29,944","6,864","29,004","4,561","17,613","3,470","16,030","2,505","15,103",968,"10,072",115,"2,140",0,21,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1018,석계,"1,332",7,"5,880","1,923","12,668","4,148","25,634","5,366","32,388","9,706","22,247","7,808","17,998","7,926","17,281","9,288","17,589","11,999","17,366","13,618","15,103","15,076","14,984","18,521","13,901","23,261","14,246","28,714","13,585","37,868","9,625","36,202","7,512","22,413","6,846","20,390","5,651","19,027","2,885","11,853",320,"2,515",1,35,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1019,광운대,"1,847",15,"5,405","1,611","12,813","2,911","34,831","4,971","31,987","9,496","18,404","8,529","13,773","8,427","12,360","8,024","13,621","10,708","13,543","12,245","12,262","11,760","12,972","13,204","13,167","16,035","14,153","17,620","11,784","25,026","6,950","24,794","5,789","15,708","5,222","13,720","4,066","13,445","2,166","11,546",253,"4,682",0,91,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1020,월계,308,11,"5,777",990,"7,403","2,465","19,143","3,954","20,669","8,112","14,703","5,560","12,246","5,486","10,563","5,584","11,577","7,778","11,053","7,386","9,550","8,204","9,420","9,256","9,268","12,605","8,785","13,076","8,857","17,068","5,455","17,248","3,831","10,789","3,064","9,354","2,212","8,182",989,"5,887",104,"2,186",0,0,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1021,녹천,425,4,"4,732",462,"7,290","1,414","19,459","2,475","18,473","4,770","12,355","3,046","9,159","3,678","7,747","3,755","9,330","4,762","7,868","4,792","6,435","5,154","6,512","6,766","6,318","8,912","6,623","9,680","5,825","12,416","3,838","14,057","2,374","8,339","2,415","7,552","1,251","6,866",563,"5,262",103,"1,588",0,0,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1022,창동,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1901,방학,289,4,"10,110","1,504","13,560","5,175","28,927","7,348","28,228","19,071","20,726","11,769","17,506","11,598","16,962","10,891","18,324","12,873","17,907","12,637","16,056","15,788","15,631","18,547","15,704","21,439","17,143","21,887","19,859","28,008","10,515","27,647","7,475","16,633","6,266","13,336","4,853","11,648","1,942","7,821",188,"2,407",2,11,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1902,도봉,173,6,"6,752","1,249","8,610","2,808","19,036","3,535","18,334","10,048","13,669","7,817","11,695","7,395","10,959","6,775","10,693","7,708","11,094","7,669","10,104","9,551","10,080","11,334","9,718","12,564","10,135","13,209","11,436","15,687","5,001","16,147","3,360","9,911","2,738","8,396","1,976","7,517",931,"4,352",120,"2,094",0,1,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1903,도봉산,133,1,"5,826",573,"8,538","2,218","23,162","3,018","21,165","5,366","14,663","9,784","12,327","13,961","12,525","12,377","14,875","10,895","17,849","10,076","20,307","9,605","20,437","9,888","18,604","8,981","15,297","8,818","11,758","9,735","7,125","9,550","4,557","5,970","3,569","5,196","2,254","5,099",959,"3,627",141,"2,015",0,6,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1904,망월사,290,2,"6,553",886,"11,240","3,542","24,655","3,969","24,928","10,957","17,480","9,863","14,247","9,133","14,098","9,389","14,715","9,102","14,527","10,539","12,548","10,258","11,225","14,422","11,911","15,250","12,270","18,986","11,123","23,460","6,494","24,214","5,111","15,933","4,350","12,745","3,040","10,050","1,510","8,603",214,"3,022",1,6,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1905,회룡,841,35,"12,846","1,950","23,271","5,626","56,315","7,719","45,120","10,717","30,725","11,226","25,890","11,167","24,798","12,949","23,990","15,169","21,831","16,435","17,730","17,671","16,894","23,364","16,958","27,149","15,944","33,112","14,282","39,260","8,753","42,375","6,665","28,579","5,562","21,636","4,349","16,330","1,963","14,870",235,"5,281",0,1,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1906,의정부,"2,379",16,"10,393","2,169","19,128","7,401","44,090","14,225","40,870","33,714","27,747","39,685","25,215","33,205","29,487","36,094","33,484","41,284","34,976","42,218","36,022","41,467","41,951","43,192","46,379","43,751","49,934","47,907","52,558","56,069","36,124","53,744","32,681","36,158","23,466","28,016","20,685","18,831","10,147","17,370",850,"8,763",1,5,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1907,가능,352,9,"7,197","1,465","12,124","3,526","22,721","5,011","21,512","11,635","14,455","7,801","12,304","6,654","11,611","6,894","11,999","8,095","11,147","9,190","10,031","7,071","9,486","10,704","8,450","11,200","10,922","15,422","10,380","20,220","6,609","19,195","5,039","11,687","3,859","10,813","3,321","8,976","1,529","7,920",129,"1,700",0,0,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1908,녹양,207,1,"4,947",698,"8,972","2,268","17,479","3,544","16,813","7,424","10,671","4,094","8,907","3,581","8,301","4,338","8,339","5,150","8,081","6,202","6,920","4,610","6,882","7,678","5,951","8,067","7,961","10,641","8,805","14,468","4,377","14,206","3,026","10,498","2,481","9,167","1,974","8,183",956,"6,799",87,"1,327",0,0,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1909,양주,"1,429",2,"5,500","1,119","11,559","5,076","33,580","8,778","27,693","11,895","19,937","7,333","17,256","6,483","15,738","8,432","15,594","8,620","13,717","9,493","12,556","10,921","11,578","13,268","11,717","12,968","13,137","17,437","16,347","22,672","7,795","22,802","4,721","17,695","3,716","13,903","2,243","12,950","1,076","10,295",33,"3,803",0,1,0,0,0,0,2020-02-03 12:20:06
2020-01,경원선,1910,덕계,0,0,"1,645",334,"5,592","1,725","10,652","1,923","9,649","2,887","5,488","1,430","4,630","1,495","4,145","1,719","4,065","2,276","3,450","1,689","3,015","2,965","2,755","3,131","3,129","4,984","3,513","4,747","3,470","6,710","1,632","7,106","1,009","5,057",765,"3,196",575,"3,699",210,"2,846",10,812,0,12,0,0,0,0,2020-02-03 12:20:06
