국적,관광,상용,공용,유학/연수,기타,계,기준년월,대륙,관광객 비율(%),전체비율(%)
영국,5909,337,3,7,1167,7423,2010-06,유럽,79.6,1.1
독일,5939,199,14,43,1682,7877,2010-06,유럽,75.4,1.1
프랑스,3933,279,23,71,941,5247,2010-06,유럽,75.0,0.8
네덜란드,1479,29,1,8,457,1974,2010-06,유럽,74.9,0.3
스웨덴,1041,56,5,5,146,1253,2010-06,유럽,83.1,0.2
스위스,741,17,0,3,98,859,2010-06,유럽,86.3,0.1
이탈리아,1781,26,0,9,472,2288,2010-06,유럽,77.8,0.3
덴마크,636,29,0,4,115,784,2010-06,유럽,81.1,0.1
노르웨이,782,281,0,3,75,1141,2010-06,유럽,68.5,0.2
벨기에,529,21,0,5,111,666,2010-06,유럽,79.4,0.1
오스트리아,504,8,2,3,147,664,2010-06,유럽,75.9,0.1
스페인,848,9,8,9,145,1019,2010-06,유럽,83.2,0.2
그리스,420,27,0,0,259,706,2010-06,유럽,59.5,0.1
포르투갈,317,5,0,2,82,406,2010-06,유럽,78.1,0.1
핀란드,630,13,0,14,262,919,2010-06,유럽,68.6,0.1
아일랜드,513,9,0,1,79,602,2010-06,유럽,85.2,0.1
우크라이나,487,29,1,6,1680,2203,2010-06,유럽,22.1,0.1
러시아,5558,603,15,33,9760,15969,2010-06,유럽,34.8,1.1
크로아티아,152,17,0,1,277,447,2010-06,유럽,34.0,0.0
루마니아,205,12,0,0,458,675,2010-06,유럽,30.4,0.0
불가리아,140,3,0,9,425,577,2010-06,유럽,24.3,0.0
폴란드,413,14,1,7,477,912,2010-06,유럽,45.3,0.1
구주 기타,1220,63,6,24,638,1951,2010-06,유럽,62.5,0.2
오스트레일리아,8509,468,42,6,1284,10309,2010-06,오세아니아,82.5,1.6
뉴질랜드,2233,52,0,0,308,2593,2010-06,오세아니아,86.1,0.4
대양주 기타,351,8,4,0,98,461,2010-06,오세아니아,76.1,0.1
남아프리카공화국,326,22,0,1,336,685,2010-06,아프리카,47.6,0.1
아프리카 기타,981,648,87,46,416,2178,2010-06,아프리카,45.0,0.2
국적미상,8,1,0,0,0,9,2010-06,기타대륙,88.9,0.0
교포,0,0,0,0,28956,28956,2010-06,교포,0.0,0.0
일본,221590,1279,76,323,4273,227541,2010-07,아시아,97.4,41.0
대만,35086,37,1,52,775,35951,2010-07,아시아,97.6,6.5
홍콩,19599,42,3,8,806,20458,2010-07,아시아,95.8,3.6
마카오,532,0,0,0,1,533,2010-07,아시아,99.8,0.1
태국,10859,41,35,43,4523,15501,2010-07,아시아,70.1,2.0
말레이시아,3552,73,8,38,1348,5019,2010-07,아시아,70.8,0.7
필리핀,4792,274,63,49,22178,27356,2010-07,아시아,17.5,0.9
인도네시아,2644,377,20,51,4655,7747,2010-07,아시아,34.1,0.5
싱가포르,4417,121,5,25,1146,5714,2010-07,아시아,77.3,0.8
미얀마,640,36,18,20,3894,4608,2010-07,아시아,13.9,0.1
베트남,3631,414,11,166,3356,7578,2010-07,아시아,47.9,0.7
인도,1489,1894,5,54,4652,8094,2010-07,아시아,18.4,0.3
스리랑카,172,41,7,8,1633,1861,2010-07,아시아,9.2,0.0
파키스탄,194,273,7,27,311,812,2010-07,아시아,23.9,0.0
방글라데시,155,109,30,35,738,1067,2010-07,아시아,14.5,0.0
캄보디아,296,32,3,18,218,567,2010-07,아시아,52.2,0.1
몽골,2206,186,10,281,797,3480,2010-07,아시아,63.4,0.4
중국,122432,10608,239,4309,57600,195188,2010-07,아시아,62.7,22.6
이란,219,266,1,7,111,604,2010-07,아시아,36.3,0.0
이스라엘,842,9,1,2,65,919,2010-07,아시아,91.6,0.2
터키,735,23,1,7,582,1348,2010-07,아시아,54.5,0.1
우즈베키스탄,522,427,3,31,1568,2551,2010-07,아시아,20.5,0.1
카자흐스탄,430,58,4,19,152,663,2010-07,아시아,64.9,0.1
GCC,1078,98,2,11,44,1233,2010-07,아시아,87.4,0.2
아시아 기타,1126,554,46,71,1148,2945,2010-07,아시아,38.2,0.2
미국,44732,947,1846,113,11805,59443,2010-07,아메리카,75.3,8.3
캐나다,7983,92,6,21,3212,11314,2010-07,아메리카,70.6,1.5
멕시코,600,16,1,21,110,748,2010-07,아메리카,80.2,0.1
브라질,733,46,0,5,266,1050,2010-07,아메리카,69.8,0.1
미주 기타,913,23,5,29,885,1855,2010-07,아메리카,49.2,0.2
영국,6008,350,4,14,1187,7563,2010-07,유럽,79.4,1.1
독일,6065,175,6,30,1742,8018,2010-07,유럽,75.6,1.1
프랑스,5010,243,21,66,868,6208,2010-07,유럽,80.7,0.9
네덜란드,1469,44,1,15,399,1928,2010-07,유럽,76.2,0.3
스웨덴,827,48,8,6,77,966,2010-07,유럽,85.6,0.2
스위스,810,14,0,4,87,915,2010-07,유럽,88.5,0.1
이탈리아,1651,33,7,3,935,2629,2010-07,유럽,62.8,0.3
덴마크,663,23,0,2,81,769,2010-07,유럽,86.2,0.1
노르웨이,685,220,0,4,82,991,2010-07,유럽,69.1,0.1
벨기에,552,24,1,0,103,680,2010-07,유럽,81.2,0.1
오스트리아,634,11,3,8,175,831,2010-07,유럽,76.3,0.1
스페인,1053,18,1,9,127,1208,2010-07,유럽,87.2,0.2
그리스,416,24,0,0,323,763,2010-07,유럽,54.5,0.1
포르투갈,374,9,0,1,55,439,2010-07,유럽,85.2,0.1
핀란드,378,18,0,6,278,680,2010-07,유럽,55.6,0.1
아일랜드,385,5,1,0,103,494,2010-07,유럽,77.9,0.1
우크라이나,463,28,0,3,1976,2470,2010-07,유럽,18.7,0.1
러시아,5908,520,16,58,8415,14917,2010-07,유럽,39.6,1.1
크로아티아,191,14,0,0,360,565,2010-07,유럽,33.8,0.0
루마니아,244,18,0,0,817,1079,2010-07,유럽,22.6,0.0
불가리아,155,0,2,1,633,791,2010-07,유럽,19.6,0.0
폴란드,532,17,1,4,520,1074,2010-07,유럽,49.5,0.1
구주 기타,1397,38,7,24,630,2096,2010-07,유럽,66.7,0.3
오스트레일리아,7321,424,21,16,1243,9025,2010-07,오세아니아,81.1,1.4
뉴질랜드,1990,63,3,1,365,2422,2010-07,오세아니아,82.2,0.4
대양주 기타,342,1,0,7,90,440,2010-07,오세아니아,77.7,0.1
남아프리카공화국,447,29,1,0,320,797,2010-07,아프리카,56.1,0.1
아프리카 기타,901,588,69,68,375,2001,2010-07,아프리카,45.0,0.2
국적미상,15,1,0,0,1,17,2010-07,기타대륙,88.2,0.0
교포,0,0,0,0,28148,28148,2010-07,교포,0.0,0.0
일본,254178,1616,103,1238,5022,262157,2010-08,아시아,97.0,43.8
대만,37078,57,5,329,592,38061,2010-08,아시아,97.4,6.4
홍콩,20053,61,0,114,768,20996,2010-08,아시아,95.5,3.5
마카오,962,1,0,2,1,966,2010-08,아시아,99.6,0.2
태국,10520,44,40,173,4611,15388,2010-08,아시아,68.4,1.8
말레이시아,3214,83,2,300,1428,5027,2010-08,아시아,63.9,0.6
필리핀,3977,352,83,148,21000,25560,2010-08,아시아,15.6,0.7
인도네시아,2046,337,14,236,4450,7083,2010-08,아시아,28.9,0.4
싱가포르,4469,133,0,135,1114,5851,2010-08,아시아,76.4,0.8
미얀마,630,75,33,42,4379,5159,2010-08,아시아,12.2,0.1
베트남,3797,400,43,671,3455,8366,2010-08,아시아,45.4,0.7
인도,1513,2130,21,198,4628,8490,2010-08,아시아,17.8,0.3
스리랑카,155,31,3,27,1383,1599,2010-08,아시아,9.7,0.0
파키스탄,104,224,5,78,262,673,2010-08,아시아,15.5,0.0
방글라데시,111,74,34,94,418,731,2010-08,아시아,15.2,0.0
캄보디아,237,27,5,85,367,721,2010-08,아시아,32.9,0.0
몽골,2286,203,5,906,931,4331,2010-08,아시아,52.8,0.4
중국,142180,11049,232,26427,62099,241987,2010-08,아시아,58.8,24.5
이란,310,321,1,36,264,932,2010-08,아시아,33.3,0.1
이스라엘,1008,7,1,3,71,1090,2010-08,아시아,92.5,0.2
터키,763,22,1,74,586,1446,2010-08,아시아,52.8,0.1
우즈베키스탄,404,446,3,128,1293,2274,2010-08,아시아,17.8,0.1
카자흐스탄,490,69,1,171,180,911,2010-08,아시아,53.8,0.1
GCC,387,84,1,53,53,578,2010-08,아시아,67.0,0.1
아시아 기타,823,532,41,193,498,2087,2010-08,아시아,39.4,0.1
미국,35671,1183,1877,562,17084,56377,2010-08,아메리카,63.3,6.1
캐나다,6454,128,9,83,4700,11374,2010-08,아메리카,56.7,1.1
멕시코,573,16,5,57,183,834,2010-08,아메리카,68.7,0.1
브라질,759,51,2,36,317,1165,2010-08,아메리카,65.2,0.1
미주 기타,987,26,4,102,845,1964,2010-08,아메리카,50.3,0.2
영국,6112,381,12,27,2023,8555,2010-08,유럽,71.4,1.1
독일,5655,217,24,331,1868,8095,2010-08,유럽,69.9,1.0
프랑스,4855,336,49,368,1285,6893,2010-08,유럽,70.4,0.8
네덜란드,1238,41,2,80,397,1758,2010-08,유럽,70.4,0.2
스웨덴,789,63,4,99,165,1120,2010-08,유럽,70.4,0.1
스위스,701,15,0,24,87,827,2010-08,유럽,84.8,0.1
이탈리아,1716,27,8,40,919,2710,2010-08,유럽,63.3,0.3
덴마크,466,34,0,29,97,626,2010-08,유럽,74.4,0.1
노르웨이,592,292,0,15,124,1023,2010-08,유럽,57.9,0.1
벨기에,534,30,0,12,152,728,2010-08,유럽,73.4,0.1
오스트리아,606,7,1,38,182,834,2010-08,유럽,72.7,0.1
스페인,1393,13,14,55,176,1651,2010-08,유럽,84.4,0.2
그리스,324,43,0,1,315,683,2010-08,유럽,47.4,0.1
포르투갈,624,7,0,2,87,720,2010-08,유럽,86.7,0.1
핀란드,454,21,0,111,273,859,2010-08,유럽,52.9,0.1
아일랜드,315,10,0,2,317,644,2010-08,유럽,48.9,0.1
우크라이나,300,30,3,41,1924,2298,2010-08,유럽,13.1,0.1
러시아,5198,545,33,358,6939,13073,2010-08,유럽,39.8,0.9
크로아티아,106,25,2,3,303,439,2010-08,유럽,24.1,0.0
루마니아,240,21,0,22,603,886,2010-08,유럽,27.1,0.0
불가리아,138,2,0,17,444,601,2010-08,유럽,23.0,0.0
폴란드,493,23,1,49,530,1096,2010-08,유럽,45.0,0.1
구주 기타,1139,45,1,164,747,2096,2010-08,유럽,54.3,0.2
오스트레일리아,6580,479,57,35,1400,8551,2010-08,오세아니아,77.0,1.1
뉴질랜드,1739,59,1,6,537,2342,2010-08,오세아니아,74.3,0.3
대양주 기타,526,7,1,6,121,661,2010-08,오세아니아,79.6,0.1
남아프리카공화국,457,20,1,9,828,1315,2010-08,아프리카,34.8,0.1
아프리카 기타,770,525,53,234,541,2123,2010-08,아프리카,36.3,0.1
국적미상,8,0,0,0,2,10,2010-08,기타대륙,80.0,0.0
교포,0,0,0,0,26298,26298,2010-08,교포,0.0,0.0
일본,259846,1791,147,576,5526,267886,2010-09,아시아,97.0,47.5
대만,31511,43,5,105,620,32284,2010-09,아시아,97.6,5.8
홍콩,13404,39,0,22,841,14306,2010-09,아시아,93.7,2.5
마카오,385,1,0,3,2,391,2010-09,아시아,98.5,0.1
태국,11562,50,39,50,4524,16225,2010-09,아시아,71.3,2.1
말레이시아,7044,104,1,80,1214,8443,2010-09,아시아,83.4,1.3
필리핀,5460,275,62,51,20246,26094,2010-09,아시아,20.9,1.0
인도네시아,8142,397,16,66,4028,12649,2010-09,아시아,64.4,1.5
싱가포르,6067,111,3,26,1122,7329,2010-09,아시아,82.8,1.1
미얀마,805,44,40,20,3890,4799,2010-09,아시아,16.8,0.1
베트남,3362,594,22,245,2941,7164,2010-09,아시아,46.9,0.6
인도,1422,2115,17,64,3671,7289,2010-09,아시아,19.5,0.3
스리랑카,180,45,6,9,826,1066,2010-09,아시아,16.9,0.0
파키스탄,157,224,1,32,222,636,2010-09,아시아,24.7,0.0
방글라데시,163,105,33,38,190,529,2010-09,아시아,30.8,0.0
캄보디아,271,16,1,24,272,584,2010-09,아시아,46.4,0.0
몽골,2581,228,2,521,697,4029,2010-09,아시아,64.1,0.5
중국,93545,10013,293,11374,60971,176196,2010-09,아시아,53.1,17.1
이란,311,304,1,10,48,674,2010-09,아시아,46.1,0.1
이스라엘,837,10,0,4,40,891,2010-09,아시아,93.9,0.2
터키,790,24,2,21,611,1448,2010-09,아시아,54.6,0.1
우즈베키스탄,386,435,0,47,952,1820,2010-09,아시아,21.2,0.1
카자흐스탄,347,91,3,45,166,652,2010-09,아시아,53.2,0.1
GCC,506,129,2,34,93,764,2010-09,아시아,66.2,0.1
아시아 기타,1126,477,59,70,467,2199,2010-09,아시아,51.2,0.2
미국,40747,1119,1283,125,13030,56304,2010-09,아메리카,72.4,7.5
캐나다,7360,110,3,21,3542,11036,2010-09,아메리카,66.7,1.3
멕시코,613,24,0,15,152,804,2010-09,아메리카,76.2,0.1
브라질,764,67,2,19,285,1137,2010-09,아메리카,67.2,0.1
미주 기타,1182,25,16,48,812,2083,2010-09,아메리카,56.7,0.2
영국,6423,389,8,24,1375,8219,2010-09,유럽,78.1,1.2
독일,6217,221,7,69,1868,8382,2010-09,유럽,74.2,1.1
프랑스,3708,310,33,66,1131,5248,2010-09,유럽,70.7,0.7
네덜란드,1431,54,0,10,379,1874,2010-09,유럽,76.4,0.3
스웨덴,882,65,2,7,131,1087,2010-09,유럽,81.1,0.2
스위스,777,21,0,6,72,876,2010-09,유럽,88.7,0.1
이탈리아,1518,37,6,12,786,2359,2010-09,유럽,64.3,0.3
덴마크,587,32,0,3,120,742,2010-09,유럽,79.1,0.1
노르웨이,747,296,0,5,86,1134,2010-09,유럽,65.9,0.1
벨기에,619,33,1,2,176,831,2010-09,유럽,74.5,0.1
오스트리아,543,9,4,8,187,751,2010-09,유럽,72.3,0.1
스페인,889,14,11,16,159,1089,2010-09,유럽,81.6,0.2
그리스,361,28,0,1,321,711,2010-09,유럽,50.8,0.1
포르투갈,286,8,0,2,57,353,2010-09,유럽,81.0,0.1
핀란드,461,23,3,15,274,776,2010-09,유럽,59.4,0.1
아일랜드,360,15,0,3,213,591,2010-09,유럽,60.9,0.1
우크라이나,387,26,0,3,1609,2025,2010-09,유럽,19.1,0.1
러시아,4352,530,10,85,5746,10723,2010-09,유럽,40.6,0.8
크로아티아,160,19,0,3,373,555,2010-09,유럽,28.8,0.0
루마니아,287,18,0,4,641,950,2010-09,유럽,30.2,0.1
불가리아,118,5,0,3,527,653,2010-09,유럽,18.1,0.0
폴란드,472,19,0,12,474,977,2010-09,유럽,48.3,0.1
구주 기타,1122,41,0,35,711,1909,2010-09,유럽,58.8,0.2
오스트레일리아,8988,470,52,16,1582,11108,2010-09,오세아니아,80.9,1.6
뉴질랜드,2312,62,3,0,439,2816,2010-09,오세아니아,82.1,0.4
대양주 기타,451,3,0,1,75,530,2010-09,오세아니아,85.1,0.1
남아프리카공화국,407,24,4,7,459,901,2010-09,아프리카,45.2,0.1
아프리카 기타,988,567,57,91,380,2083,2010-09,아프리카,47.4,0.2
국적미상,10,3,0,0,1,14,2010-09,기타대륙,71.4,0.0
교포,0,0,0,0,26715,26715,2010-09,교포,0.0,0.0
일본,295488,1270,85,199,5528,302570,2010-10,아시아,97.7,44.9
대만,39087,55,1,36,650,39829,2010-10,아시아,98.1,5.9
홍콩,21148,62,0,8,809,22027,2010-10,아시아,96.0,3.2
마카오,812,0,0,0,1,813,2010-10,아시아,99.9,0.1
태국,29243,30,14,24,4802,34113,2010-10,아시아,85.7,4.4
말레이시아,8311,78,3,25,1192,9609,2010-10,아시아,86.5,1.3
필리핀,7086,347,65,38,18416,25952,2010-10,아시아,27.3,1.1
인도네시아,3903,658,29,22,4111,8723,2010-10,아시아,44.7,0.6
싱가포르,8998,152,5,4,1192,10351,2010-10,아시아,86.9,1.4
미얀마,697,53,52,5,3741,4548,2010-10,아시아,15.3,0.1
베트남,4737,628,29,114,4484,9992,2010-10,아시아,47.4,0.7
인도,2276,2612,15,25,3306,8234,2010-10,아시아,27.6,0.3
스리랑카,327,84,25,3,901,1340,2010-10,아시아,24.4,0.0
파키스탄,242,389,2,12,313,958,2010-10,아시아,25.3,0.0
방글라데시,179,129,65,17,398,788,2010-10,아시아,22.7,0.0
캄보디아,446,17,18,8,494,983,2010-10,아시아,45.4,0.1
몽골,2483,218,10,144,529,3384,2010-10,아시아,73.4,0.4
중국,107237,11371,374,3102,59344,181428,2010-10,아시아,59.1,16.3
이란,266,442,2,6,89,805,2010-10,아시아,33.0,0.0
이스라엘,1192,7,0,1,87,1287,2010-10,아시아,92.6,0.2
터키,1043,17,3,4,530,1597,2010-10,아시아,65.3,0.2
우즈베키스탄,411,514,5,11,1607,2548,2010-10,아시아,16.1,0.1
카자흐스탄,341,60,0,4,154,559,2010-10,아시아,61.0,0.1
GCC,691,135,23,15,83,947,2010-10,아시아,73.0,0.1
아시아 기타,1459,834,107,25,470,2895,2010-10,아시아,50.4,0.2
미국,49798,1327,1228,69,11534,63956,2010-10,아메리카,77.9,7.6
캐나다,8929,118,0,7,2802,11856,2010-10,아메리카,75.3,1.4
멕시코,807,16,1,19,175,1018,2010-10,아메리카,79.3,0.1
브라질,1095,44,0,1,291,1431,2010-10,아메리카,76.5,0.2
미주 기타,1396,41,6,13,529,1985,2010-10,아메리카,70.3,0.2
영국,8727,358,4,3,1402,10494,2010-10,유럽,83.2,1.3
독일,8083,202,22,21,2034,10362,2010-10,유럽,78.0,1.2
프랑스,5486,269,12,28,1098,6893,2010-10,유럽,79.6,0.8
네덜란드,1893,39,1,9,404,2346,2010-10,유럽,80.7,0.3
스웨덴,1433,65,14,3,155,1670,2010-10,유럽,85.8,0.2
스위스,1156,18,2,1,94,1271,2010-10,유럽,91.0,0.2
이탈리아,2496,24,7,3,648,3178,2010-10,유럽,78.5,0.4
덴마크,782,23,1,4,110,920,2010-10,유럽,85.0,0.1
노르웨이,902,289,0,0,71,1262,2010-10,유럽,71.5,0.1
벨기에,777,27,0,0,198,1002,2010-10,유럽,77.5,0.1
오스트리아,915,5,2,1,227,1150,2010-10,유럽,79.6,0.1
스페인,1265,12,9,6,178,1470,2010-10,유럽,86.1,0.2
그리스,461,34,1,1,283,780,2010-10,유럽,59.1,0.1
포르투갈,688,6,0,1,63,758,2010-10,유럽,90.8,0.1
핀란드,861,15,0,3,246,1125,2010-10,유럽,76.5,0.1
아일랜드,458,13,0,0,78,549,2010-10,유럽,83.4,0.1
우크라이나,520,24,0,7,1854,2405,2010-10,유럽,21.6,0.1
러시아,5508,952,15,20,9574,16069,2010-10,유럽,34.3,0.8
크로아티아,202,13,0,0,258,473,2010-10,유럽,42.7,0.0
루마니아,346,12,0,0,508,866,2010-10,유럽,40.0,0.1
불가리아,202,3,2,2,401,610,2010-10,유럽,33.1,0.0
폴란드,715,17,2,7,474,1215,2010-10,유럽,58.8,0.1
구주 기타,1785,46,3,17,746,2597,2010-10,유럽,68.7,0.3
오스트레일리아,8192,550,126,3,1517,10388,2010-10,오세아니아,78.9,1.2
뉴질랜드,2025,65,2,2,380,2474,2010-10,오세아니아,81.9,0.3
대양주 기타,614,4,0,2,94,714,2010-10,오세아니아,86.0,0.1
남아프리카공화국,528,35,1,1,288,853,2010-10,아프리카,61.9,0.1
아프리카 기타,1075,921,103,25,473,2597,2010-10,아프리카,41.4,0.2
국적미상,21,1,0,0,3,25,2010-10,기타대륙,84.0,0.0
교포,0,0,0,0,29508,29508,2010-10,교포,0.0,0.0
일본,268947,1370,153,231,4188,274889,2010-11,아시아,97.8,48.2
대만,34557,34,1,44,455,35091,2010-11,아시아,98.5,6.2
홍콩,18845,64,1,11,697,19618,2010-11,아시아,96.1,3.4
마카오,913,0,0,0,1,914,2010-11,아시아,99.9,0.2
태국,16424,55,13,22,4374,20888,2010-11,아시아,78.6,2.9
말레이시아,14924,72,4,19,1455,16474,2010-11,아시아,90.6,2.7
필리핀,6196,243,45,24,13799,20307,2010-11,아시아,30.5,1.1
인도네시아,3772,636,16,20,2496,6940,2010-11,아시아,54.4,0.7
싱가포르,11260,147,3,17,1179,12606,2010-11,아시아,89.3,2.0
미얀마,811,26,39,8,2854,3738,2010-11,아시아,21.7,0.1
베트남,3557,686,43,102,4785,9173,2010-11,아시아,38.8,0.6
인도,1343,2386,76,46,2172,6023,2010-11,아시아,22.3,0.2
스리랑카,177,71,3,1,1004,1256,2010-11,아시아,14.1,0.0
파키스탄,142,253,0,9,242,646,2010-11,아시아,22.0,0.0
방글라데시,110,113,26,21,401,671,2010-11,아시아,16.4,0.0
캄보디아,376,31,6,4,467,884,2010-11,아시아,42.5,0.1
몽골,2722,221,9,97,749,3798,2010-11,아시아,71.7,0.5
중국,75686,11912,601,2184,45769,136152,2010-11,아시아,55.6,13.6
이란,116,482,1,8,42,649,2010-11,아시아,17.9,0.0
이스라엘,870,6,1,2,148,1027,2010-11,아시아,84.7,0.2
터키,1020,13,12,8,419,1472,2010-11,아시아,69.3,0.2
우즈베키스탄,459,489,0,16,2305,3269,2010-11,아시아,14.0,0.1
카자흐스탄,507,61,3,5,202,778,2010-11,아시아,65.2,0.1
GCC,547,99,23,24,55,748,2010-11,아시아,73.1,0.1
아시아 기타,1099,546,82,33,502,2262,2010-11,아시아,48.6,0.2
미국,36582,1047,1523,52,9878,49082,2010-11,아메리카,74.5,6.6
캐나다,7207,133,3,14,2488,9845,2010-11,아메리카,73.2,1.3
멕시코,578,19,11,11,274,893,2010-11,아메리카,64.7,0.1
브라질,917,47,3,4,332,1303,2010-11,아메리카,70.4,0.2
미주 기타,1154,35,12,16,347,1564,2010-11,아메리카,73.8,0.2
영국,7432,368,4,4,1218,9026,2010-11,유럽,82.3,1.3
독일,6652,214,35,86,1664,8651,2010-11,유럽,76.9,1.2
프랑스,4098,259,31,92,1048,5528,2010-11,유럽,74.1,0.7
네덜란드,1581,48,1,26,506,2162,2010-11,유럽,73.1,0.3
스웨덴,1033,56,9,39,132,1269,2010-11,유럽,81.4,0.2
스위스,847,11,2,4,96,960,2010-11,유럽,88.2,0.2
이탈리아,2129,25,18,19,284,2475,2010-11,유럽,86.0,0.4
덴마크,621,29,0,6,84,740,2010-11,유럽,83.9,0.1
노르웨이,858,281,0,3,83,1225,2010-11,유럽,70.0,0.2
벨기에,502,26,1,3,99,631,2010-11,유럽,79.6,0.1
오스트리아,635,10,2,15,140,802,2010-11,유럽,79.2,0.1
스페인,1064,9,7,15,188,1283,2010-11,유럽,82.9,0.2
그리스,434,21,1,0,253,709,2010-11,유럽,61.2,0.1
포르투갈,440,5,2,0,89,536,2010-11,유럽,82.1,0.1
핀란드,617,15,0,39,219,890,2010-11,유럽,69.3,0.1
아일랜드,327,15,0,1,80,423,2010-11,유럽,77.3,0.1
우크라이나,560,37,0,2,1244,1843,2010-11,유럽,30.4,0.1
러시아,5071,865,61,13,6780,12790,2010-11,유럽,39.6,0.9
크로아티아,177,11,0,2,210,400,2010-11,유럽,44.2,0.0
루마니아,273,12,0,1,339,625,2010-11,유럽,43.7,0.0
불가리아,165,0,0,0,357,522,2010-11,유럽,31.6,0.0
폴란드,585,15,0,11,381,992,2010-11,유럽,59.0,0.1
구주 기타,1428,71,2,10,503,2014,2010-11,유럽,70.9,0.3
오스트레일리아,5995,472,62,10,1104,7643,2010-11,오세아니아,78.4,1.1
뉴질랜드,1438,64,2,2,291,1797,2010-11,오세아니아,80.0,0.3
대양주 기타,274,5,1,1,22,303,2010-11,오세아니아,90.4,0.0
남아프리카공화국,355,30,5,0,223,613,2010-11,아프리카,57.9,0.1
아프리카 기타,904,828,147,20,403,2302,2010-11,아프리카,39.3,0.2
국적미상,11,0,0,0,4,15,2010-11,기타대륙,73.3,0.0
교포,0,0,0,0,26142,26142,2010-11,교포,0.0,0.0
일본,224684,1325,61,231,3505,229806,2010-12,아시아,97.8,44.9
대만,23851,44,1,84,541,24521,2010-12,아시아,97.3,4.8
홍콩,20595,50,0,33,729,21407,2010-12,아시아,96.2,4.1
마카오,1226,1,0,1,0,1228,2010-12,아시아,99.8,0.2
태국,25871,52,12,13,4697,30645,2010-12,아시아,84.4,5.2
말레이시아,20776,69,7,31,1724,22607,2010-12,아시아,91.9,4.2
필리핀,5635,129,53,21,17145,22983,2010-12,아시아,24.5,1.1
인도네시아,7565,364,10,30,2732,10701,2010-12,아시아,70.7,1.5
싱가포르,22208,125,2,25,1229,23589,2010-12,아시아,94.1,4.4
미얀마,682,41,29,6,4102,4860,2010-12,아시아,14.0,0.1
베트남,2968,494,13,93,3353,6921,2010-12,아시아,42.9,0.6
인도,1294,1712,6,30,2639,5681,2010-12,아시아,22.8,0.3
스리랑카,105,45,5,13,776,944,2010-12,아시아,11.1,0.0
파키스탄,99,262,1,10,297,669,2010-12,아시아,14.8,0.0
방글라데시,98,118,2,18,437,673,2010-12,아시아,14.6,0.0
캄보디아,302,11,1,7,282,603,2010-12,아시아,50.1,0.1
몽골,2403,225,3,220,456,3307,2010-12,아시아,72.7,0.5
중국,58987,9746,205,3416,46707,119061,2010-12,아시아,49.5,11.8
이란,133,337,2,3,127,602,2010-12,아시아,22.1,0.0
이스라엘,739,5,0,0,51,795,2010-12,아시아,93.0,0.1
터키,569,24,2,6,601,1202,2010-12,아시아,47.3,0.1
우즈베키스탄,342,450,1,10,1226,2029,2010-12,아시아,16.9,0.1
카자흐스탄,265,61,4,4,172,506,2010-12,아시아,52.4,0.1
GCC,384,76,1,12,51,524,2010-12,아시아,73.3,0.1
아시아 기타,959,537,40,23,309,1868,2010-12,아시아,51.3,0.2
미국,33401,779,1124,71,9792,45167,2010-12,아메리카,74.0,6.7
캐나다,5612,89,6,14,2235,7956,2010-12,아메리카,70.5,1.1
멕시코,317,31,2,6,125,481,2010-12,아메리카,65.9,0.1
브라질,768,47,0,20,183,1018,2010-12,아메리카,75.4,0.2
미주 기타,697,24,2,20,265,1008,2010-12,아메리카,69.1,0.1
영국,5052,284,2,5,755,6098,2010-12,유럽,82.8,1.0
독일,4243,176,12,52,1492,5975,2010-12,유럽,71.0,0.8
프랑스,3326,223,15,78,856,4498,2010-12,유럽,73.9,0.7
네덜란드,1003,38,0,8,350,1399,2010-12,유럽,71.7,0.2
스웨덴,612,53,1,8,70,744,2010-12,유럽,82.3,0.1
스위스,446,13,0,6,62,527,2010-12,유럽,84.6,0.1
이탈리아,1022,29,2,14,152,1219,2010-12,유럽,83.8,0.2
덴마크,327,24,0,6,71,428,2010-12,유럽,76.4,0.1
노르웨이,476,210,0,1,71,758,2010-12,유럽,62.8,0.1
벨기에,332,26,1,2,91,452,2010-12,유럽,73.5,0.1
오스트리아,326,6,1,9,107,449,2010-12,유럽,72.6,0.1
스페인,586,14,7,5,75,687,2010-12,유럽,85.3,0.1
그리스,328,19,0,1,220,568,2010-12,유럽,57.7,0.1
포르투갈,480,7,0,2,47,536,2010-12,유럽,89.6,0.1
핀란드,410,15,0,17,169,611,2010-12,유럽,67.1,0.1
아일랜드,297,15,0,1,82,395,2010-12,유럽,75.2,0.1
우크라이나,455,22,0,0,1661,2138,2010-12,유럽,21.3,0.1
러시아,4640,559,6,29,6737,11971,2010-12,유럽,38.8,0.9
크로아티아,90,10,0,0,280,380,2010-12,유럽,23.7,0.0
루마니아,171,21,1,0,385,578,2010-12,유럽,29.6,0.0
불가리아,95,0,1,1,515,612,2010-12,유럽,15.5,0.0
폴란드,287,12,0,9,382,690,2010-12,유럽,41.6,0.1
구주 기타,1003,25,2,16,529,1575,2010-12,유럽,63.7,0.2
오스트레일리아,7998,278,17,2,875,9170,2010-12,오세아니아,87.2,1.6
뉴질랜드,1625,28,2,0,282,1937,2010-12,오세아니아,83.9,0.3
대양주 기타,363,1,4,5,92,465,2010-12,오세아니아,78.1,0.1
남아프리카공화국,352,14,0,2,211,579,2010-12,아프리카,60.8,0.1
아프리카 기타,488,578,37,26,501,1630,2010-12,아프리카,29.9,0.1
