국적,관광,상용,공용,유학/연수,기타,계,기준년월,대륙,관광객 비율(%),전체비율(%)
핀란드,631,9,0,39,415,1094,2018-11,유럽,57.7,0.1
아일랜드,564,8,0,4,118,694,2018-11,유럽,81.3,0.0
우크라이나,780,109,2,10,1473,2374,2018-11,유럽,32.9,0.1
러시아,16134,134,22,68,7022,23380,2018-11,유럽,69.0,1.4
크로아티아,232,6,3,2,231,474,2018-11,유럽,48.9,0.0
루마니아,447,2,11,3,458,921,2018-11,유럽,48.5,0.0
불가리아,194,2,1,4,265,466,2018-11,유럽,41.6,0.0
폴란드,1221,16,1,18,657,1913,2018-11,유럽,63.8,0.1
구주 기타,2106,42,27,44,1021,3240,2018-11,유럽,65.0,0.2
오스트레일리아,10444,88,29,15,1135,11711,2018-11,오세아니아,89.2,0.9
뉴질랜드,2248,12,16,5,559,2840,2018-11,오세아니아,79.2,0.2
대양주 기타,504,2,11,1,101,619,2018-11,오세아니아,81.4,0.0
남아프리카공화국,432,7,12,4,245,700,2018-11,아프리카,61.7,0.0
아프리카 기타,1322,770,69,109,867,3137,2018-11,아프리카,42.1,0.1
국적미상,46,2,0,0,24,72,2018-11,기타대륙,63.9,0.0
교포,0,0,0,0,20456,20456,2018-11,교포,0.0,0.0
일본,252461,1698,161,608,3593,258521,2018-12,아시아,97.7,22.7
대만,85697,71,22,266,1252,87308,2018-12,아시아,98.2,7.7
홍콩,58355,41,3,208,939,59546,2018-12,아시아,98.0,5.2
마카오,6766,0,1,20,36,6823,2018-12,아시아,99.2,0.6
태국,47242,42,302,58,6382,54026,2018-12,아시아,87.4,4.2
말레이시아,52698,89,3,114,2761,55665,2018-12,아시아,94.7,4.7
필리핀,28222,140,127,54,14107,42650,2018-12,아시아,66.2,2.5
인도네시아,21276,185,209,141,4278,26089,2018-12,아시아,81.6,1.9
싱가포르,38917,105,2,81,1360,40465,2018-12,아시아,96.2,3.5
미얀마,1405,8,21,45,4013,5492,2018-12,아시아,25.6,0.1
베트남,17814,1184,352,3953,6541,29844,2018-12,아시아,59.7,1.6
인도,3090,2215,26,65,3044,8440,2018-12,아시아,36.6,0.3
스리랑카,197,54,1,6,822,1080,2018-12,아시아,18.2,0.0
파키스탄,276,244,5,61,367,953,2018-12,아시아,29.0,0.0
방글라데시,175,136,30,55,820,1216,2018-12,아시아,14.4,0.0
캄보디아,1088,47,79,33,1447,2694,2018-12,아시아,40.4,0.1
몽골,6731,82,287,552,550,8202,2018-12,아시아,82.1,0.6
중국,345135,3283,362,10777,56722,416279,2018-12,아시아,82.9,31.0
이란,88,57,3,18,48,214,2018-12,아시아,41.1,0.0
이스라엘,821,6,0,10,44,881,2018-12,아시아,93.2,0.1
터키,831,14,58,27,978,1908,2018-12,아시아,43.6,0.1
우즈베키스탄,2082,597,0,243,2591,5513,2018-12,아시아,37.8,0.2
카자흐스탄,2073,8,1,55,970,3107,2018-12,아시아,66.7,0.2
GCC,2195,28,11,53,74,2361,2018-12,아시아,93.0,0.2
아시아 기타,2850,351,132,92,2641,6066,2018-12,아시아,47.0,0.3
미국,52998,304,2804,227,14690,71023,2018-12,아메리카,74.6,4.8
캐나다,9909,34,36,34,4070,14083,2018-12,아메리카,70.4,0.9
멕시코,1385,2,4,57,411,1859,2018-12,아메리카,74.5,0.1
브라질,1135,7,9,16,247,1414,2018-12,아메리카,80.3,0.1
미주 기타,1590,20,26,61,419,2116,2018-12,아메리카,75.1,0.1
영국,6439,112,9,26,1201,7787,2018-12,유럽,82.7,0.6
