127.0.0.1 - - [20/Mar/2020:09:57:00 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [20/Mar/2020:09:57:02 +0900] "GET /jsp_test/form/select_form.jsp HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [20/Mar/2020:09:57:08 +0900] "GET /jsp_test/form/select_form.jsp HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [20/Mar/2020:09:57:33 +0900] "GET /jsp_test/form/select_form.jsp HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [20/Mar/2020:09:57:59 +0900] "GET /jsp_test/form/select_form.jsp HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [20/Mar/2020:09:57:59 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [20/Mar/2020:09:59:50 +0900] "GET /jsp_test/form/select_form.jsp HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [20/Mar/2020:10:01:11 +0900] "GET /jsp_test/form/select_form.jsp HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [20/Mar/2020:10:01:26 +0900] "GET /jsp_test/form/select_proc.jsp?travel1=&travel2=%ED%83%9C%EA%B5%AD HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [20/Mar/2020:10:01:28 +0900] "GET /jsp_test/form/select_proc.jsp?travel1=&travel2=%ED%83%9C%EA%B5%AD HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [20/Mar/2020:10:01:36 +0900] "GET /jsp_test/form/select_proc.jsp?travel1=%EB%8F%99%ED%95%B4&travel2=%ED%83%9C%EA%B5%AD HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [20/Mar/2020:10:03:13 +0900] "GET /jsp_test/form/select_form.jsp HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [20/Mar/2020:10:05:25 +0900] "GET /jsp_test/form/select_form.jsp HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [20/Mar/2020:10:05:28 +0900] "GET /jsp_test/form/select_proc.jsp?travel1=%EB%8F%99%ED%95%B4&travel2=%ED%83%9C%EA%B5%AD HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [20/Mar/2020:10:05:32 +0900] "GET /jsp_test/form/select_form.jsp HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [20/Mar/2020:10:10:14 +0900] "GET /jsp_test/form/select_form.jsp HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [20/Mar/2020:10:15:31 +0900] "GET /jsp_test/form/select_form.jsp HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [20/Mar/2020:10:15:36 +0900] "GET /jsp_test/form/festival_form.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [20/Mar/2020:10:20:29 +0900] "GET /jsp_test/form/festival_form.jsp HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [20/Mar/2020:10:20:32 +0900] "POST /jsp_test/form/festival_proc.jsp HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [20/Mar/2020:10:20:47 +0900] "GET /jsp_test/form/festival_proc.jsp HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [20/Mar/2020:10:20:50 +0900] "GET /jsp_test/form/festival_form.jsp HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [20/Mar/2020:10:20:51 +0900] "POST /jsp_test/form/festival_proc.jsp HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [20/Mar/2020:10:36:18 +0900] "GET /jsp_test/form/festival_form.jsp HTTP/1.1" 200 1065
